time,average_temperature,humidity
2010-01,15.9,77
2010-01,16.9,78
2010-01,20.8,70
2010-01,16.0,81
2010-01,17.5,75
2010-01,16.9,82
2010-01,13.3,75
2010-01,19.9,72
2010-01,19.9,72
2010-01,17.2,75
2010-01,16.6,78
2010-01,16.0,79
2010-01,18.5,75
2010-01,11.1,91
2010-01,18.3,70
2010-01,12.5,82
2010-01,-0.2,63
2010-01,19.5,74
2010-01,16.2,78
2010-01,6.8,82
2010-01,14.4,78
2010-01,17.1,75
2010-01,10.5,88
2010-01,18.8,76
2010-01,21.3,68
2010-01,16.5,81
2010-01,18.9,86
2010-01,16.7,76
2010-02,16.7,84
2010-02,17.6,84
2010-02,22.7,74
2010-02,16.3,86
2010-02,18.5,83
2010-02,18.3,84
2010-02,13.3,84
2010-02,21.5,74
2010-02,21.9,76
2010-02,19.1,77
2010-02,18.3,80
2010-02,16.8,85
2010-02,20.2,77
2010-02,12.7,90
2010-02,20.2,74
2010-02,14.0,85
2010-02,-0.7,79
2010-02,21.4,78
2010-02,17.5,82
2010-02,8.8,79
2010-02,16.1,78
2010-02,18.5,80
2010-02,11.4,91
2010-02,20.0,82
2010-02,22.7,76
2010-02,16.6,88
2010-02,20.8,91
2010-02,17.3,82
2010-03,19.0,75
2010-03,20.0,72
2010-03,23.1,71
2010-03,18.6,77
2010-03,20.9,77
2010-03,19.8,76
2010-03,15.4,77
2010-03,23.7,69
2010-03,22.4,73
2010-03,21.4,73
2010-03,19.7,74
2010-03,17.9,79
2010-03,21.0,72
2010-03,14.0,88
2010-03,22.8,66
2010-03,15.6,81
2010-03,2.6,66
2010-03,21.9,76
2010-03,19.8,75
2010-03,10.3,74
2010-03,17.5,78
2010-03,21.1,72
2010-03,12.6,85
2010-03,22.0,77
2010-03,23.9,72
2010-03,18.6,78
2010-03,21.1,86
2010-03,19.7,74
2010-04,20.3,78
2010-04,20.7,78
2010-04,24.1,73
2010-04,19.8,80
2010-04,21.7,82
2010-04,20.7,81
2010-04,17.1,80
2010-04,24.9,74
2010-04,23.5,76
2010-04,22.2,78
2010-04,20.7,78
2010-04,19.4,81
2010-04,21.9,72
2010-04,14.6,92
2010-04,23.7,70
2010-04,16.5,82
2010-04,3.8,81
2010-04,22.9,81
2010-04,21.0,78
2010-04,12.2,86
2010-04,18.5,84
2010-04,22.0,78
2010-04,14.5,88
2010-04,22.8,79
2010-04,24.9,71
2010-04,19.9,80
2010-04,21.9,90
2010-04,20.6,77
2010-05,25.0,77
2010-05,25.5,75
2010-05,26.6,78
2010-05,24.4,79
2010-05,25.2,85
2010-05,24.9,79
2010-05,21.8,83
2010-05,27.8,75
2010-05,26.5,79
2010-05,26.5,77
2010-05,24.9,79
2010-05,23.2,82
2010-05,25.5,75
2010-05,19.3,90
2010-05,27.6,71
2010-05,21.1,82
2010-05,5.9,81
2010-05,25.7,83
2010-05,25.2,79
2010-05,13.9,89
2010-05,21.4,84
2010-05,26.6,75
2010-05,19.6,90
2010-05,25.9,82
2010-05,27.2,75
2010-05,24.5,79
2010-05,24.1,91
2010-05,25.2,76
2010-06,26.5,78
2010-06,26.2,82
2010-06,28.0,75
2010-06,25.2,85
2010-06,26.8,87
2010-06,25.8,83
2010-06,24.3,88
2010-06,28.3,79
2010-06,27.7,80
2010-06,27.7,80
2010-06,25.8,82
2010-06,24.4,89
2010-06,26.5,79
2010-06,20.5,92
2010-06,28.1,75
2010-06,22.3,89
2010-06,6.8,84
2010-06,27.0,83
2010-06,26.6,79
2010-06,14.5,93
2010-06,21.6,87
2010-06,27.1,78
2010-06,23.1,89
2010-06,27.5,85
2010-06,28.0,84
2010-06,25.6,83
2010-06,25.3,92
2010-06,26.0,80
2010-07,29.9,73
2010-07,30.3,69
2010-07,29.1,75
2010-07,29.5,72
2010-07,28.6,84
2010-07,28.8,77
2010-07,28.0,85
2010-07,29.5,76
2010-07,29.3,77
2010-07,29.0,79
2010-07,28.9,76
2010-07,27.9,86
2010-07,28.8,73
2010-07,23.2,88
2010-07,29.3,72
2010-07,25.3,83
2010-07,8.0,74
2010-07,28.7,80
2010-07,29.2,74
2010-07,15.1,91
2010-07,22.8,85
2010-07,29.2,74
2010-07,27.1,89
2010-07,29.2,82
2010-07,28.6,82
2010-07,29.9,71
2010-07,26.2,90
2010-07,29.8,72
2010-08,29.6,72
2010-08,30.0,72
2010-08,28.9,77
2010-08,29.3,74
2010-08,29.3,82
2010-08,28.7,78
2010-08,29.0,78
2010-08,29.4,78
2010-08,29.4,75
2010-08,28.8,81
2010-08,28.8,77
2010-08,28.3,85
2010-08,28.9,73
2010-08,23.0,91
2010-08,29.6,71
2010-08,25.2,82
2010-08,7.9,79
2010-08,29.0,79
2010-08,29.3,75
2010-08,14.9,90
2010-08,22.9,84
2010-08,28.9,77
2010-08,28.1,85
